Individual Goals,Age,Gender,Risk Tolerance,Financial Literacy,Recommended Investment Products
saving for education,41,Female,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,32,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,47,Male,Low,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,27,Male,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,75,Male,High,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,72,Female,High,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,62,Female,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,40,Female,Medium,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,20,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,6,Male,Low,4,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
planning a vacation,41,Female,Medium,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,75,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,6,Male,Medium,2,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
starting a business,80,Female,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,31,Female,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,45,Male,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,71,Male,Medium,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,36,Male,High,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,25,Female,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,29,Male,High,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,46,Female,Medium,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,69,Female,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,57,Female,High,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,63,Male,High,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,72,Female,High,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,68,Female,High,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,33,Male,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,37,Male,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,1,Male,Low,3,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
saving for retirement,23,Female,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,49,Male,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,12,Male,Medium,5,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,1,Male,Low,1,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
saving for education,71,Female,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,8,Male,Low,5,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
purchasing for self,46,Male,Medium,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,36,Male,Low,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,48,Female,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,56,Female,High,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,41,Male,High,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,64,Male,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,45,Male,High,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,45,Female,Low,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,15,Female,High,5,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,39,Male,Medium,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for education,2,Female,High,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
saving for education,42,Male,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,11,Female,Medium,4,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,68,Female,High,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,70,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,60,Female,High,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,66,Female,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,57,Female,Low,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,74,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,42,Male,Low,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,45,Male,High,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,76,Male,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,17,Male,High,5,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
planning a vacation,47,Male,High,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,53,Female,Low,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,7,Male,Low,5,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,75,Male,High,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,26,Male,Low,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,22,Male,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,76,Female,Medium,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,71,Female,Medium,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,63,Female,Medium,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,54,Male,High,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,7,Male,High,2,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
buying a house,54,Female,Medium,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,71,Female,Low,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,8,Male,High,3,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,49,Female,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,11,Female,Medium,5,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,50,Male,Low,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,26,Female,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,13,Female,Medium,4,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
planning a vacation,44,Male,High,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,12,Female,Low,2,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
starting a business,75,Female,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,78,Male,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,19,Male,Low,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,34,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,18,Male,Low,5,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
starting a business,60,Male,High,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,65,Female,Low,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,31,Female,Medium,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,69,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,51,Male,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,8,Female,High,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans"
saving for retirement,32,Female,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,6,Female,Medium,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Mutual Funds, PPF, NPS"
buying a house,33,Female,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,0,Male,Medium,4,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
planning a vacation,3,Female,High,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
saving for retirement,63,Male,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,41,Female,Low,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,53,Male,Medium,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,47,Female,Medium,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,58,Male,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,69,Female,Medium,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,44,Male,Medium,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,1,Female,Medium,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
saving for education,11,Male,Low,2,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
buying a house,13,Female,Low,2,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,12,Male,Medium,3,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
planning a vacation,76,Female,Medium,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,17,Male,High,3,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for education,59,Male,High,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,41,Male,Low,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,52,Male,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,35,Female,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,26,Male,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,55,Male,Low,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,62,Male,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,53,Female,Medium,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,72,Male,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,42,Female,High,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,71,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,13,Female,Low,3,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
starting a business,8,Female,Medium,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans"
saving for education,26,Male,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,47,Male,High,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,57,Female,Medium,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,30,Female,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,75,Female,Medium,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,54,Male,High,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,56,Male,Low,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,49,Female,High,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,19,Male,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,22,Male,Medium,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,19,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,47,Male,High,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,50,Female,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
buying a house,73,Male,Low,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,43,Male,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,18,Male,Medium,3,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
saving for retirement,52,Male,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,5,Female,Medium,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
saving for education,26,Male,Medium,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,15,Female,High,3,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
starting a business,31,Male,Medium,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,11,Female,High,3,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
starting a business,2,Male,Low,1,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for education,55,Female,Medium,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,42,Female,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,78,Female,Medium,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
